Workload,Input,Output,Cost
SVM_1,2561.1151,2561.0869,1.4070582
SVM_1,5121.3475,5121.3321,1.5660116
SVM_1,7681.6043,7681.5813,1.767874
SVM_1,10242.2676,10242.2471,1.8408162
SVM_1,12802.3599,12502.2982,2.0133974
SVM_1,15362.2912,15362.2758,4.3882198
SVM_1,17923.1558,17923.12,4.1373415
SVM_1,20483.1791,20483.1586,4.4131109
SVM_1,23043.4933,23043.4703,5.3385247
SVM_1,25603.1691,25603.1435,6.7466022
SVM_1,28163.0405,28163.0123,10.8230608
SVM_1,30723.7054,30723.6747,8.2859569
SVM_1,33283.7953,33283.762,10.6051845
SVM_1,35843.7573,35843.7214,9.4710472
SVM_1,38404.2971,38404.2971,8.1886794
SVM_1,40963.7031,40963.6622,10.593158
SVM_1,43524.9237,43524.8801,8.5563045
SVM_1,46084.3161,46084.27,12.4145978
SVM_1,48644.9133,48644.9133,11.266368
SVM_1,51204.7126,51204.7126,11.6478785
SVD_1,512.0405,459.8512,1.3350558
SVD_1,1024.0737,996.2998,1.3971653
SVD_1,1536.1147,1532.7491,1.4502914
SVD_1,2048.148,1992.5981,1.5477417
SVD_1,2560.1813,2529.0469,1.6397965
SVD_1,3072.1979,3065.4974,1.715163
SVD_1,3584.2312,3525.3459,1.6670124
SVD_1,4096.2645,4061.7944,1.7292921
SVD_1,4608.3054,4598.2455,1.7638949
SVD_1,5120.3387,5058.0908,1.8385124
SVD_1,5632.372,5594.5394,1.8154441
SVD_1,6144.3886,6130.9877,1.9031086
SVD_1,6656.4219,6590.8429,1.9631958
SVD_1,7168.4552,7127.2868,1.8986058
SVD_1,7680.4962,7663.7373,1.9916098
SVD_1,8192.5295,8123.5893,2.0372299
SVD_1,8704.5628,8660.0389,1.967393
SVD_1,9216.5794,9196.4872,2.0595379
SVD_1,9728.6127,9656.3388,2.1632246
SVD_1,10240.6536,10192.7888,2.2319668
RFC_1,2560.6827,2560.6699,1.4060008
RFC_1,5120.5007,5120.47,1.6019806
RFC_1,7680.4233,7680.408,1.7010227
RFC_1,10240.2644,10240.2439,1.9846924
RFC_1,12801.3662,12801.3534,2.1376873
RFC_1,15360.9313,15360.9005,5.228799
RFC_1,17921.3071,17921.2892,4.8705299
RFC_1,20480.9655,20480.945,7.9512975
RFC_1,23041.4039,23041.3809,6.4198947
