,Static,CACAO,Best
ALS,0.6218118497,0.621164821,0.6204709499
KM,0.9998249137,0.9993182883,0.9833894294
SVM,0.5874426988,0.5884120034,0.5780510735
LR,0.6775329707,0.6754072603,0.6558376137
Bayes,0.7415608454,0.7412778719,0.7356875191
LinR,0.263930788,0.2672476878,0.263930788
RF,0.4382103472,0.439762693,0.4241871273
LDA,0.975012706,0.9724837479,0.9724837479
PCA,0.597689194,0.5970128159,0.5952740097
GBT,0.9570559916,0.9509248375,0.942821273
SVD,0.1471274331,0.1448380309,0.1448380309
PR,0.9980312369,0.9989525068,0.9980312369
NW,1.002548742,1.002356955,0.8691208608
TS,0.9046619906,0.9040179177,0.9040179177
GeoM,0.6309574253,0.6305415847,0.6178398728
